Per_Step,Memory
0.0139451,2646.5
0.0132578,2647.12
0.0152342,2647.12
0.015763,2647.12
0.0125186,2647.12
0.0133773,2651.25
0.0211526,2744.81
0.018253,2745.75
0.0195277,2745.75
0.0170095,2745.81
0.0163508,2745.81
0.0169488,2749.94
